aX,aY,aZ,gX,gY,gZ
-1.98,2,-0.37,109.62,-179.69,-250.14
-0.12,2,-0.29,144.7,-250.14,-250.14
1.37,2,-0.59,67.63,-200.69,-186.3
2,0.66,-0.56,-8.26,-129.6,-104.21
2,-0.54,-0.09,-1.08,-52.61,1.53
2,0.83,-1.04,-111.44,250.13,7.26
1.03,0,-0.04,-85.23,250.13,93.69
-1.21,-0.03,-0.32,10.15,180.76,157.64
-1.74,0.18,0.05,20.91,4.15,133.33
-2,0.79,-1.26,97.82,-122.4,71.38
-1.32,1.08,-2,-158.64,179.08,-144.28
1.01,0.29,2,-56.42,-71.66,-49.08
2,1.37,2,137.96,135.85,-36.02
1.31,1.77,1.67,-98.05,68.6,250.13
-2,2,-0.15,45.54,-67.5,250.13
0.39,2,-0.06,-48.24,62.69,250.13
-1.56,2,0.29,-131.69,142.58,250.13
-0.49,2,-0.75,-173.15,227.77,250.13
-2,0.53,-0.7,-146.15,166.49,250.13
-2,-0.16,-0.12,-25.68,35.3,186.07
-2,0.11,-0.1,-50.58,-16.05,111.11
-0.5,0.14,-0.07,-60.62,-6.31,47.07
-0.87,-0.1,0.29,-84.08,112.02,0.7
-2,-0.91,-0.17,-32.16,-45.46,-13.85
-1.41,-0.5,-0.55,-12.49,-158.27,-74.01
-0.73,-0.47,-0.34,4.77,-151.48,-142.97
-0.71,-0.07,-0.73,3.69,-104.68,-208.73
-0.86,1.4,-1.16,45.75,-141.85,-250.14
-2,2,0.95,70.01,-74.63,-250.14
-0.38,2,0.03,4.48,70.18,-250.14
-1.42,2,-0.31,53.11,75.3,-250.14
-0.88,2,-0.17,100.03,-135.73,-250.14
0.23,2,-0.35,112.56,-189.86,-250.14
2,1.39,-0.75,12.53,-79.95,-103.72
2,-0.15,-0.66,-1.95,-111.32,22.59
2,-0.52,-0.04,-81.35,159.7,43.41
2,0.19,-0.54,0.76,250.13,-0.91
0.02,0.14,-0.76,18.54,239.44,88.42
-1.24,0.3,-0.1,2.18,169.74,129.64
-1.76,0.51,0,26.69,15.3,154.48
-2,0.61,-1.07,83.55,-117.53,73.72
-1.72,0.83,-2,-80.86,40.69,-116.98
2,-0.11,2,124.48,-248.66,165.34
1.2,0.53,-2,155.93,250.13,250.13
2,2,-2,-97.55,-67.59,101.27
-0.07,1.96,-0.4,-45.21,42.79,250.13
-0.06,2,-0.58,-49.88,74.24,250.13
-1.48,2,-0.42,-142.69,152.39,250.13
-1.95,1.73,-0.45,-177.24,227.9,250.13
-2,-0.3,-0.55,-84.66,141.14,244.4
-2,-0.02,-0.41,-49,58.7,136.4
-2,0,-0.26,-71.39,-8.15,42.89
-0.63,-0.14,0.4,-44.52,-92.24,10.67
-0.81,0.06,0.33,-18.85,-99.88,-2.36
-1.05,-0.14,-0.12,-21.37,-74.02,-8.76
-0.51,-0.5,0.13,-55.15,-32.09,-84.76
-0.95,-0.59,-0.11,-50.15,-26.43,-149.44
-1.06,-0.03,-0.31,-28.02,-32.01,-220.4
-1.34,0.31,-1.01,55.04,-67.88,-250.14
-2,2,-0.07,66.02,-176.56,-250.14
-2,2,-0.76,61.89,-99.69,-250.14
-0.69,2,-0.94,78.66,-49.7,-250.14
-0.74,2,-0.63,64.57,-130.37,-250.14
0.29,2,-0.4,132.21,-210.73,-250.14
1.68,1.89,-0.77,42.46,-122.52,-170.99
2,0.25,-0.41,-8.73,-110.63,5.69
2,-1,0.25,-102.95,142.69,72.76
2,-0.05,-0.14,-38.78,250.13,-21.27
-0.21,0.13,-0.35,26.58,156.69,109.48
-0.85,0.43,-0.06,6.09,116.66,147.71
-0.95,0.63,0.17,16.34,-5.93,137.53
-1.41,0.55,-1,63.33,-2.59,75.85
-1.77,0.73,-2,-111.29,198.1,-105.64
1.4,2,2,-159.53,-250.14,10.98
2,2,-0.26,-104.24,175.85,-218.08
2,1.12,0.3,-188.15,208.64,250.13
-2,2,0.31,14.33,-23.84,250.13
-0.08,2,-0.58,-33.99,7.57,250.13
-1.5,2,0.09,-133.82,105.08,250.13
-0.88,2,-0.49,-156.6,113.5,250.13
-1.39,0.64,-0.82,-128.42,125.18,250.13
-2,-0.03,-0.11,-32.98,-6.73,230.75
-2,-0.35,-0.02,20.95,-153.25,154.17
-0.54,0.19,0.12,-20.78,-92.61,45.72
-0.08,0.13,0.69,-94.85,106.47,2.68
-2,-0.86,-0.06,-84.35,84.93,-52.39
-1.82,-0.79,-0.3,-55.42,-47.73,-114.55
-0.95,-0.4,-0.3,-6.24,-148.22,-185.13
-0.66,0.32,-0.54,5.52,-132.37,-241.57
-0.59,1.64,-1.74,26.88,-110.26,-250.14
-2,2,1.18,62.21,-55.53,-250.14
-1.4,2,-0.31,23.69,58.97,-250.14
-1.59,2,-0.78,63.11,-16.11,-250.14
-0.41,2,-0.35,94.04,-129.67,-250.14
0.36,2,-0.24,110.63,-163.83,-241.8
1.84,1.39,-0.47,-9.4,-19.97,-117.03
2,0.08,-0.55,-13.47,-80.73,-12.18
2,-0.76,-0.22,-5.69,6.63,75.11
2,0.18,-0.21,-52.37,250.13,20.3
0.63,0.37,-0.71,1.39,250.13,79.11
-1.09,0.36,0.06,14.4,140.66,160.98
-2,0.47,0.25,7.4,-7.65,124.98
-2,0.27,-0.79,133.82,-214.69,98.58
-1.56,1.03,-2,42.25,74.27,-79.61
-0.61,1.18,2,-88.77,-250.14,143.37
2,2,-2,6.4,151.03,-69.6
2,2,-0.44,-146.68,194.66,250.13
-2,2,-0.02,-17.28,54.53,250.13
0.35,2,-0.51,-9.58,65.4,250.13
-2,2,-0.07,-135.65,162.51,250.13
-1.32,2,-0.62,-151.59,112.63,250.13
-1.27,0.34,-0.59,-131.47,111.54,250.13
-2,0.32,-0.34,-50.32,97.53,205.17
-2,-0.42,0.21,-47.05,-3.28,112.91
-0.85,-0.18,-0.19,-44.08,-73.15,12.98
-0.28,0.08,0.64,-82.86,69.95,-4.42
-2,-0.79,-0.06,-49.02,-14.8,-41.17
-1.24,-0.56,-0.28,-41.82,-95.98,-105.61
-0.55,-0.31,0,-31.06,-105.71,-177.28
-0.47,0.27,-0.11,-28.4,-79.66,-229.96
-0.81,1.21,-2,14.89,-37.02,-250.14
-2,2,0.85,42.08,-53.51,-250.14
-2,2,-0.75,25.97,-7.18,-250.14
-1.07,2,-0.69,61.76,-28.66,-250.14
-0.82,2,-0.27,63.39,-99.47,-250.14
0.29,1.82,-0.05,116.05,-187.59,-237.44
1.58,1.35,-0.45,38.58,-66.75,-111.53
2,0.48,-0.5,-1.99,-72.17,1.21
2,-0.73,-0.24,-27.83,8.66,72.76
2,0.19,0.35,-74.16,250.13,2.82
0.42,0.21,-0.7,6.27,216.06,49.78
-1.16,0.29,-0.12,38.34,113.73,131.51
-1.9,0.54,-0.07,12.85,34.85,103.95
-1.71,0.49,-0.73,79.24,-117.72,76.33
-1.19,0.67,-0.95,8.91,90.19,-50.36
-0.26,-0.27,0.53,-158.69,2.23,33.15
2,0.77,2,2.8,-93.62,33.98
2,2,2,-232.46,250.13,-132.99
2,1.34,2,-250.14,188.33,250.13
-2,1,0.48,-11.38,55.5,250.13
-2,2,-1.45,-98.97,125.98,250.13
-2,2,-0.3,-126.28,121.33,250.13
-0.94,2,-0.55,-168.49,175.56,250.13
-2,-0.25,-0.48,-86.32,58.99,250.13
-1.94,-0.07,0.14,-20.58,-30.85,146.46
-1.55,0.01,0.07,-58.95,6.35,67.14
-0.23,0.31,0.27,-56.94,-10.12,14.5
-0.97,-0.17,0.32,-91.51,116.91,-5.65
-1.62,-0.63,-0.28,-85.04,59.21,-32.99
-1.12,-0.75,-0.13,-63.83,-8.54,-119.85
-1.06,-0.45,-0.32,-23.83,-93.41,-152.87
-0.64,-0.16,-0.51,40.13,-93.02,-198.36
-1.23,2,-0.54,51.16,-250.14,-250.14
-2,2,-0.35,92.76,-73.19,-250.14
-0.45,2,-0.27,52.08,34.24,-250.14
-1.75,2,-0.29,104.37,-15.35,-250.14
-0.96,2,-0.31,116.97,-178.06,-250.14
0.41,2,-0.48,159.03,-250.14,-218.66
1.95,1.72,-0.68,33.34,-105.15,-103.57
2,0.36,-0.48,-25.88,-103.45,-22.69
2,-0.5,-0.25,-114.12,250.13,33.24
1.98,-0.53,0.29,-25.22,250.13,-23.5
-0.74,-0.3,-0.23,72.46,166.89,83.11
-1.31,0.3,-0.79,70.89,34.4,92.63
-1.74,0.34,-0.41,58.29,-0.08,64.57
-1.25,0.94,-2,-28.39,65.62,-33.23
-2,-0.36,2,-87.44,-250.14,19.29
2,2,2,12.66,162.9,-249.47
1.8,0.61,1.54,-143.28,250.13,250.13
-2,2,-0.51,-2.72,21.26,250.13
-0.81,2,-0.26,-57.73,17.05,250.13
-1.23,2,-0.03,-115.51,69.69,250.13
-1.31,2,-0.6,-136.07,60.2,250.13
-0.81,1.12,-0.79,-141.79,99.62,250.13
-2,0.24,-0.18,-82.45,55.54,250.13
-2,-0.32,0.36,-7.82,-54.89,182.6
-0.98,-0.06,-0.2,-33.11,-51.5,72.75
0.28,0.35,0.6,-83.33,106.29,25.94
-2,-0.66,-0.16,-74.17,70.02,-21.82
-2,-1.03,-0.56,-18.08,-140.82,-69.73
-0.51,-0.33,-0.03,3.76,-175.71,-166.17
-0.4,0.31,-0.18,-11.4,-93.21,-228.73
-0.63,1.34,-1.74,-17.44,-12.84,-250.14
-2,2,0.36,9.28,-54.8,-250.14
-1.15,2,-0.52,-10.3,26.27,-250.14
-0.96,2,-0.47,52.37,90.98,-250.14
-1.4,2,-0.38,88.63,-44.4,-250.14
-0.17,1.94,0.02,156.38,-165.57,-250.14
1.07,1.98,-0.61,77.98,-122.83,-176.21
2,0.55,-0.23,3.31,-204.49,-100.6
2,-0.83,-0.19,40.42,-59.92,31.92
2,0.33,-0.5,-104.94,250.13,-9.73
0.72,0.12,-0.77,-9.84,250.13,80.29
-1.39,0.1,0.3,20.2,56.98,187.44
-2,0.45,0.42,60.69,-120.33,65.04
-1.94,0.85,-1.67,112.7,-154.47,-7.26
-0.02,0.66,1.41,-201.78,174.79,-31.78
-2,-1.28,-2,250.13,-54.69,62.2
1.24,2,-0.91,250.13,219.09,-191.76
1.53,0.92,-0.25,-32.21,19.95,250.13
-0.7,2,-0.38,60.6,-39.47,250.13
-0.84,2,-0.18,-111.1,127.52,250.13
-1.77,2,0.14,-121.6,124.93,250.13
-0.21,2,-0.78,-175.72,221.69,250.13
-2,0.49,-0.63,-143.25,173.58,250.13
-2,-0.48,-0.3,-33.72,7.83,182.89
-1.98,-0.08,-0.28,-39.27,-34.14,110.58
-0.58,-0.18,0.38,-58.82,1.57,33.2
-0.81,-0.43,0.41,-71.68,51.98,2.92
-1.93,-0.62,-0.32,-50.26,-16.73,-57.29
-1.21,-0.4,-0.28,-25.21,-115.72,-102.21
-0.69,-0.36,-0.19,-3.72,-138.06,-146.95
-0.46,0,-0.32,-9.1,-108.53,-199.22
-0.56,0.55,-1.18,36.48,-41.16,-250.14
-1.57,2,0.64,46.22,-50.82,-250.14
-2,2,-0.69,34.31,-20.27,-250.14
-1.02,2,-0.61,95.48,19.43,-250.14
-1.23,2,-0.41,91.1,-70.17,-250.14
-0.17,2,-0.36,163.44,-177.9,-250.14
0.81,1.75,-0.39,77.35,-158.2,-123.38
2,0.77,-0.41,-10.79,-114.32,-17.85
2,-0.69,0.16,-63.24,27.56,81.87
2,-0.15,0.37,-54.64,250.13,-4.45
0.62,0.14,-0.76,22.34,218.47,52.66
-1,0.27,-0.22,13.22,124.05,144.81
-1.4,0.53,0.23,0.15,24.27,120.05
-1.63,0.29,-0.53,81.95,-105.89,86.36
-1.47,0.76,-1.91,47.64,132.34,-72.19
-0.07,-0.7,2,-68.41,-125.56,88.62
2,2,-2,101.79,62.6,152.08
2,2,-2,75.5,16.11,51.27
-0.29,2,-0.33,-123.99,119.11,250.13
-0.83,2,-0.87,13.76,34.7,250.13
-1.25,2,-0.01,-124.11,101.44,250.13
-1.22,2,-0.5,-162.23,140.05,250.13
-1.52,0.85,-0.66,-165.35,214.86,250.13
-2,-0.28,-0.55,-71.78,137.7,194.82
-2,-0.43,-0.4,-27.02,2.27,116.63
-1.2,-0.01,0.17,-51.34,-40.79,15.77
-0.49,0,0.29,-56.9,12.41,10.82
-1.69,-0.66,0.06,-55.98,1.74,-46.71
-1.39,-0.7,-0.52,-33.18,-72.73,-84.9
-0.8,-0.48,-0.24,-17.89,-110.39,-141.87
-0.93,-0.17,-0.46,-0.23,-135.85,-191.04
-0.76,0.53,-0.88,-6.14,-108.55,-250.14
-1.14,1.65,-2,58.58,-90.59,-250.14
-2,2,-0.68,108.64,-129.58,-250.14
-0.97,2,-0.6,81.23,-50.32,-250.14
-0.89,2,-0.99,104.92,-67.93,-250.14
-0.16,2,-0.18,94.34,-116.76,-250.14
0.47,1.66,-0.22,55.52,-136.98,-144.05
1.99,0.96,-0.52,-10.05,-117.15,-6.67
2,-0.6,-0.03,-25.01,-76.73,65.89
2,-0.23,0.04,-73.21,243.05,54.69
1.55,0.18,-0.61,-7.53,250.13,4.26
-0.37,0.4,-0.16,17.55,123.5,106.05
-1.58,0.49,-0.09,24.08,85.64,85.79
-2,0.24,-0.51,74.45,-29.47,70.44
-1.59,0.74,-1.88,33.21,62.04,-9.79
-2,0.4,2,-250.14,-166.14,-23.34
2,2,2,107.4,-156.13,-250.14
1.79,-0.89,2,-167.79,250.13,250.13
-1.69,2,-0.08,86.32,-5.55,250.13
-0.04,2,-1.04,-63.05,51.47,250.13
-2,2,-0.02,-102.01,103.35,250.13
-1.21,2,-0.6,-143.11,98.18,250.13
-1.21,1.06,-0.48,-153.66,175.55,250.13
-2,-0.08,-0.19,-92.89,143.83,202.39
-2,-0.09,-0.39,-42.85,61.45,116.23
-1.05,0.15,-0.05,-65.87,22.21,49.43
-0.53,0.09,0.63,-117.56,124.06,12.53
-2,-0.81,-0.25,-68.05,22.26,-21.02
-1.99,-1.11,-0.57,-10.76,-119.71,-70.46
-0.91,-0.59,-0.28,11.03,-184.7,-124.23
-0.62,-0.11,-0.31,5.35,-151.92,-198.35
-0.34,0.42,-0.81,-25.39,-67.92,-250.14
-1.05,1.2,-1.98,55.18,-73.56,-250.14
-2,2,0.18,124.98,-96.92,-250.14
-0.64,2,-0.53,69.37,25.8,-250.14
-0.81,2,-0.68,63.65,-16.28,-250.14
-0.22,2,0.04,97.05,-86.69,-250.14
0.09,2,-0.38,97.85,-131.83,-224.11
1.91,1.27,-0.88,27.69,-66.18,-62.79
2,-0.38,-0.28,-2.44,-111.69,71.12
2,-0.38,0.02,-40.09,169.61,48.6
