aX,aY,aZ,gX,gY,gZ
0.13,0.93,-0.21,-12.4,9.85,49.06
0.05,0.96,-0.19,-11.71,23.35,46.77
0.02,0.96,-0.16,-12.89,24.26,46.84
0,0.93,-0.15,-11.43,18.92,47.06
-0.03,0.92,-0.15,-8.4,17.76,43.25
0.02,0.95,-0.17,-7.44,21.91,41.56
0.02,0.93,-0.14,-6.85,23.69,40
0.05,0.95,-0.16,-2.33,22.93,38.89
0.14,1.03,-0.19,-1.11,30.97,40.51
0.16,1.11,-0.3,-1.85,47.42,42.6
0.01,1.17,-0.27,-8.04,65.32,41.95
0.02,1.05,-0.4,-9.51,76.64,36.34
-0.17,1.06,-0.35,-19.16,88.28,25.42
-0.22,1.32,-0.27,-15.27,77.79,13.57
-0.12,1.15,-0.13,-24.46,90.44,-2.02
-0.19,1.12,-0.08,-24.52,106.77,-34.47
-0.26,1.15,0.09,-33.65,132.34,-77.83
-0.13,0.88,0.12,-37.68,153.26,-114.68
-0.22,0.6,-0.18,-12.18,138.5,-146.63
-0.22,0.77,-0.27,14.88,80.22,-159.94
-0.11,1.31,-0.13,39.18,60.44,-157.83
0.11,1.38,-0.18,41.93,58.15,-139.31
0.1,1.14,-0.14,55.49,35.89,-132.15
-0.03,1.24,-0.06,59.31,8.57,-123.34
-0.02,1.08,-0.06,63.67,-39.16,-115.14
-0.08,0.99,-0.09,64.92,-64.78,-100.21
-0.04,1.02,-0.07,60.04,-89.66,-82.36
0.05,0.98,-0.08,53.01,-104.39,-62.87
0.23,0.9,-0.02,48.55,-94.23,-55.49
0.4,0.92,-0.08,37.53,-54.6,-55.22
0.44,0.82,0.01,23.42,-9.03,-41.74
0.39,0.77,0.04,15.08,33.06,-17.68
0.22,0.73,0,12.79,72.25,-3.13
0.03,0.73,0.02,14.24,91.24,17.31
-0.16,0.71,-0.02,25.29,83.52,37.37
-0.5,0.72,-0.28,45.43,63.31,49.71
-0.83,1,-0.45,45.99,46.44,45.22
-0.89,1.37,-0.89,41.44,6.79,32.38
-1.08,1.18,-0.63,-20.09,-61.42,14.83
-1.21,1.03,-0.46,-40.61,-87.13,12.76
-0.78,1.39,-0.25,-42.42,-110.52,25.68
0.33,1.16,0.02,-74.37,-140.76,40.88
0.46,0.68,0.23,9.38,-53.85,53.41
0.59,1.02,-0.19,7.95,-11.6,55.44
0.68,1.05,-0.1,-18.89,14.38,76.66
0.25,0.96,-0.12,-19.27,0.86,87.95
-0.16,0.91,-0.3,-14.77,-20.05,74.08
0.14,0.89,-0.31,-14.36,-34.69,69.81
0.26,0.92,-0.15,-16.03,-18.39,67.07
0.13,0.9,-0.15,-11.85,7.85,61.49
0.19,0.94,-0.2,-10.88,35.08,55.44
0.02,0.97,-0.2,-13.07,50.12,51.51
-0.06,0.95,-0.2,-14.98,35.17,54.56
-0.01,0.91,-0.24,-11.65,22.91,53.47
0.02,0.97,-0.22,-10.11,23.09,50.11
0.04,0.95,-0.19,-9.46,18.66,48.84
0.12,0.96,-0.16,-7.05,16.14,48.89
0.1,1.01,-0.22,-5.69,17.26,50.08
0.2,1.02,-0.15,-2.95,26.34,45.69
0.2,1.06,-0.19,-2.4,38.82,46.18
0.12,1.06,-0.1,-6.6,54.21,48.92
0.17,0.97,-0.23,-0.64,57.55,48.4
0,0.99,-0.21,-3.3,74.37,44.76
-0.11,1.01,-0.29,-6.49,65.04,42.68
-0.07,1.06,-0.29,-12.37,52.68,39.61
-0.06,1,-0.31,-16.4,54.18,31.83
0.03,1.01,-0.27,-19.02,64.42,24.49
-0.07,1.37,-0.3,-6.5,69.63,16.44
-0.01,1.14,-0.17,-22.35,98.75,2.06
-0.11,0.99,-0.15,-21.79,123.28,-36.92
-0.42,1.07,-0.04,-29.53,130.38,-75.24
-0.32,0.92,0.13,-36.2,128.6,-106.48
-0.25,0.67,-0.15,-10.87,99.61,-134.87
-0.34,0.89,-0.17,10.78,37.48,-151.58
0,1.27,-0.08,35.82,14.32,-156.81
0.27,1.3,-0.09,36.43,26.42,-145.74
0.22,1.22,-0.11,49.69,29.92,-143.32
0.07,1.35,-0.07,55.11,29.54,-134.95
0.01,1.15,-0.08,57.01,-4.89,-125.8
-0.06,1.04,-0.04,59.8,-21.59,-113.87
0,1.04,0,57.47,-58.05,-96.85
0.12,0.95,-0.02,58.29,-87.25,-86.27
0.24,0.97,-0.05,49.69,-73.6,-78.85
0.36,0.94,-0.02,39.95,-44.43,-66.83
0.47,0.87,-0.04,24.5,4.75,-55.82
0.44,0.72,0.03,16.74,41.77,-37.13
0.29,0.75,-0.02,10.19,78.23,-11.95
0.05,0.71,0,5.69,94.37,9.72
-0.23,0.64,-0.11,27.81,86.76,33.4
-0.59,0.77,-0.39,47.15,40.9,51.63
-0.83,1.1,-0.43,34.91,-1.11,50.98
-0.85,1.34,-0.56,16.34,-50.92,30.21
-0.97,1.04,-0.5,-16.99,-83.51,15.92
-0.89,0.99,-0.48,-35.49,-63.05,9.96
-0.43,0.89,-0.18,-38.5,-61.36,19.95
0.1,1.86,-0.3,-31.64,-85.98,67.37
0.13,0.6,0.57,-16.47,-20.86,50.31
-0.42,1.2,-0.67,26.6,-6.3,52.89
0.36,0.96,-0.05,-27.37,-60.7,59.48
0.62,0.81,0.06,-15.15,-42.07,75.56
0.02,0.94,-0.15,-8.84,-28.65,77.64
0.2,0.95,-0.3,-8.14,-33.34,63.69
0.54,0.99,-0.17,-12.12,-9.21,67.84
0.22,0.93,-0.1,-11.1,28.02,60.13
0.1,0.97,-0.19,-10.75,52.62,52.73
0.06,0.97,-0.26,-12.91,57.3,48.2
-0.06,0.92,-0.25,-12.89,45.34,49.52
-0.04,0.95,-0.24,-9.54,34.79,48.61
0,0.95,-0.22,-7.94,27.37,46.84
0.03,0.95,-0.22,-7.82,17.47,46.5
0.07,0.94,-0.22,-6.3,13.54,46.69
0.07,0.96,-0.2,-3.87,13.52,45.27
0.12,0.98,-0.18,-3.91,16.74,43.15
0.2,1,-0.18,-3.05,26.07,41.82
0.17,1,-0.15,-2.06,42.46,41.56
0.13,1.02,-0.17,-1.45,53.98,39.63
0.12,0.98,-0.18,-4.86,57.44,37.26
0.11,0.94,-0.34,-1.05,68.05,33.75
-0.03,1,-0.3,-3.15,79.6,30.98
0.04,1.09,-0.27,-8.06,79.98,29.63
0.01,1.06,-0.23,-14.51,87.81,24.37
-0.07,1.01,-0.17,-16.79,88.2,17.92
-0.01,1.04,-0.16,-18.06,88.43,14.59
-0.03,1.15,-0.25,-12.76,95.58,8.69
-0.04,1.19,-0.09,-24.31,129.24,-12.76
-0.17,0.86,-0.09,-25.33,151.54,-39.68
-0.33,1.08,-0.04,-25.45,166.15,-79.67
-0.45,0.85,0.02,-28.16,153.67,-104.01
-0.38,0.64,-0.12,-2.92,102.81,-128.42
-0.27,0.9,-0.15,20.34,37.71,-141.49
0,1.31,-0.09,44.23,12.37,-147.09
0.12,1.38,-0.04,47.75,26.08,-134.66
0.33,1.19,-0.03,52.3,29.4,-129.04
0.13,1.24,0.11,64.98,23.6,-127.44
0.06,1.27,0.11,68.28,24.23,-108.62
0.91,0.95,-0.93,69.69,75.12,-94.4
-0.85,1.22,0.62,58.6,-55.37,-93.47
0.53,0.85,-0.31,52.03,-30.92,-87.79
0.05,0.9,0.04,51.98,-21.31,-74.63
-0.06,1.12,0.11,35.18,-28.07,-66.85
-0.1,0.94,0.16,30.11,-29.66,-52.28
0.29,0.84,-0.01,15.73,15.31,-49.43
0.17,0.78,-0.07,9.26,52.56,-27.68
-0.08,0.73,0,6.68,63.11,-20.56
-0.01,0.86,-0.1,-4.86,71.21,-4.05
-0.29,0.72,-0.01,-0.11,94.88,11.79
-2,0.6,1.77,9.18,-79.24,65.76
-0.3,0.9,-0.47,0.31,26.46,32.89
-0.77,1.23,-0.28,-2.98,-17.92,27.91
-0.76,1.08,-0.48,-7.08,-26.78,23.21
-0.76,1.14,-0.61,-18.75,-12.88,14.94
-0.65,1.38,-0.32,-40.52,7.71,15.5
-0.16,1.68,-0.76,-42.44,-0.01,14.51
0.44,0.43,0.37,-20.74,-9.8,45.52
0.15,0.65,0.03,1.73,15.05,50.53
0.25,1.34,0.04,-21.24,51.5,81.7
0.26,0.99,-0.05,-30.44,-13.36,83.32
-0.04,0.87,-0.14,-16.47,-20.57,75.91
0.15,0.9,-0.32,-10.38,0.76,64.37
0.46,1,-0.27,-13.37,33.22,60.09
0.15,0.96,-0.26,-16.39,53.17,54.13
-0.09,0.93,-0.25,-17.6,51.14,55.7
-0.07,0.9,-0.24,-14.92,33.94,52.94
0.07,0.93,-0.25,-11.37,34.6,49.56
0.03,0.94,-0.28,-11.15,44.89,43.63
-0.03,0.95,-0.28,-8.57,38.86,39.72
0.06,0.95,-0.25,-6.44,27.44,38.45
0.1,0.96,-0.24,-5.08,31.12,37.48
0.13,0.99,-0.2,-2.84,39.47,35.8
0.13,0.98,-0.16,-0.46,49.21,33.57
0.17,0.95,-0.24,3.41,55.31,32.84
0.09,0.97,-0.17,2.31,79.47,30.27
-0.02,0.98,-0.19,-1.58,75.91,32.01
-0.03,1,-0.22,-2.44,56.95,34.31
-0.07,0.97,-0.27,-3.69,39.12,36.22
-0.05,0.95,-0.27,-4.05,31.1,32.78
0.08,1.02,-0.25,-7.22,43.27,24.65
0.13,1.06,-0.19,-13.05,62.76,17.85
0.15,1.11,-0.14,-16.59,80.69,14.6
0.08,1.15,-0.18,-20.83,94.31,14.37
-0.01,1.1,-0.2,-24.98,101.3,14.44
-0.14,1.3,-0.26,-21.73,104.65,-1.9
-0.23,0.94,-0.12,-35.38,132.41,-28.7
-0.25,0.85,-0.02,-35.41,150.11,-72.08
-0.45,0.84,-0.04,-31.3,128.58,-113.71
-0.48,0.72,-0.13,-15.77,68.44,-130.01
-0.21,1.03,-0.27,9.27,3.47,-137.64
-0.01,1.39,-0.15,21.6,-22.36,-141.15
0.24,1.25,-0.01,21.59,-15.81,-136.12
0.33,1.09,0.03,34.45,1.15,-134.11
0.29,1.21,0.02,42.34,22.44,-131.7
0.1,1.18,-0.01,47.66,39.7,-123.11
-0.05,1.08,-0.02,51.75,28.05,-103.82
-0.09,1.03,-0.02,56.42,-12.16,-96.4
0.03,0.97,-0.11,52.76,-53.52,-87.81
0.11,0.93,-0.08,48.96,-59.01,-80.45
0.22,0.96,-0.09,42.81,-49.41,-62.66
0.38,0.92,-0.13,29.64,-15.16,-50.4
0.33,0.84,-0.02,19.95,18.93,-29.82
0.23,0.8,0.02,14.12,42.67,-11.76
0.06,0.74,0,10.63,54.31,10.75
-0.14,0.68,-0.05,23.89,46.32,29.46
-0.34,0.75,-0.21,35.15,28.05,45.25
-0.29,0.82,-0.4,31.69,37.91,46.55
-0.57,1.01,-0.37,32.5,43.63,38.66
-0.91,1.1,-0.45,12.32,1.65,21.52
-1.06,0.96,-0.45,-2.39,-47.77,8.68
-0.83,1.01,-0.46,-19.35,-52.31,14.69
-0.37,1.38,-0.12,-23.94,-63.28,32.18
0.11,1.2,-0.07,-56.46,-64.27,62.26
-0.54,1.09,-0.38,-0.56,-87.21,47.32
0.49,0.9,0,-13.28,-91.71,51.17
1.05,0.76,0.07,-13.56,-29.31,65.61
0.28,1.06,-0.12,-12.57,9.62,85.95
-0.09,0.96,-0.28,-13.1,-4.69,71.37
0.24,0.91,-0.27,-14.14,-20.86,64.06
0.14,0.92,-0.17,-13.89,-7.56,62.34
0.09,0.92,-0.21,-10.09,4.69,58.7
0.22,0.96,-0.16,-10.89,27.93,53.66
0.03,0.94,-0.15,-10.77,43.73,48.63
-0.09,0.92,-0.19,-9.01,31.8,47.02
-0.04,0.92,-0.22,-5.29,21.12,44.15
-0.03,0.95,-0.22,-3.69,19.89,40.61
-0.06,0.93,-0.19,-4.2,16.24,37.08
-0.03,0.92,-0.2,-0.67,3.47,34.96
0.14,0.95,-0.17,1.62,0.05,37.33
0.22,0.99,-0.15,1.81,17.24,37.75
0.2,1.01,-0.15,1.15,30.99,36.41
0.14,1.03,-0.16,0.24,35.2,37.24
0.15,1.1,-0.15,-1.38,43.09,38.4
0.21,0.97,-0.32,5.5,43.16,40.63
0.05,1.08,-0.21,1.47,77.63,39.35
-0.05,1.02,-0.31,-0.09,83.68,37.35
-0.17,1.03,-0.3,-6.12,88.51,29.23
-0.19,1.02,-0.32,-13.01,83.69,19.11
-0.13,1.04,-0.18,-17.36,88.97,9.86
-0.08,1.24,-0.2,-10.04,96.76,-0.05
-0.16,1.17,-0.02,-24.82,139.95,-22.83
-0.24,0.98,0.02,-26.41,158.7,-62.31
-0.35,0.98,0.04,-41.8,180.92,-109.93
-0.34,0.59,-0.08,-22.72,147.37,-137.92
-0.27,0.74,-0.19,4.11,99.27,-152.12
-0.04,1.33,-0.11,31.08,60.19,-164.4
0.05,1.57,-0.07,36.41,68.15,-148.13
0.18,1.18,-0.01,42.39,69.17,-132.89
0.11,1.21,0.06,52.85,50.31,-131.64
-0.07,1.25,0.11,59.17,19.81,-123.6
-0.08,1.11,0.03,57.13,-10.11,-105.27
-0.05,1.03,0.09,50.34,-42.65,-94.45
0.09,0.95,0.08,48.64,-59.25,-87.85
0.21,0.93,0.02,38.02,-42.77,-85.74
0.22,0.98,0.02,30.35,-20.53,-71.63
0.35,0.91,-0.05,18.13,8.34,-62.61
0.34,0.78,-0.05,9.23,47.49,-47.5
0.21,0.76,-0.07,0.43,76.76,-26.53
0.02,0.77,-0.09,-10.47,96.41,-3.48
-0.16,0.77,-0.06,-15.76,81.06,16.82
-0.3,0.74,-0.19,-4.96,62.56,35.56
-0.49,0.77,-0.34,9.6,38.52,48.5
-0.69,1.07,-0.34,3.82,27.53,47
-0.95,1.13,-0.44,-0.18,-8.96,30.6
-1.06,0.93,-0.57,-5.01,-36.56,11.94
-0.89,0.98,-0.52,-30.5,-26.72,8.3
-0.46,1.03,-0.03,-38.52,-28.33,22.15
0.04,1.32,-0.22,-41.36,-54.85,53.15
-0.44,0.92,-0.09,8.32,-31.3,48.29
0.29,0.99,-0.2,-9.05,-70.92,37.77
1.04,0.86,-0.08,-9.31,-29.61,66.01
0.48,1.05,-0.13,-10.83,8.97,83.79
-0.13,1,-0.28,-13.13,5.63,71.25
0.17,0.91,-0.31,-13.73,-15.69,63.1
0.16,0.93,-0.16,-15.8,-6,63.35
-0.02,0.9,-0.23,-10.53,8.95,60.04
0.16,0.93,-0.2,-9.93,26.92,54.26
-0.03,0.95,-0.17,-12.75,34.57,52.45
-0.03,0.94,-0.15,-12.89,24.8,54.79
0.02,0.94,-0.17,-10.18,20.66,53.08
-0.03,0.93,-0.2,-8.28,19.87,49.26
-0.04,0.96,-0.2,-6.59,17.92,45.24
0.01,0.93,-0.19,-4.61,14.47,41.67
0.01,0.98,-0.16,-2.46,18.44,38.21
0.08,1.01,-0.16,-0.71,25.56,33.99
0.12,1.09,-0.16,2.44,30.47,32.42
0.25,1.02,-0.33,7.18,36.68,38.39
0.22,1.04,-0.16,5.51,90.04,35.09
-0.07,0.96,-0.16,1.06,104.27,33.3
-0.17,1.08,-0.18,-5.69,86.3,32.94
-0.23,1.07,-0.29,-12.51,61.11,32.6
-0.19,1.01,-0.35,-16.01,48.95,29.05
-0.02,1.02,-0.27,-17.75,58.27,21.53
0.03,1.01,-0.27,-16.53,93.14,8.62
-0.14,1.36,-0.14,-17.44,139.84,-23.94
-0.3,1.07,0.07,-37.88,182.69,-62.26
-0.3,1.01,-0.05,-46.11,184.6,-110.68
-0.62,0.69,-0.13,-28.31,129.95,-137.9
-0.36,0.86,-0.12,-0.81,63.02,-153.79
0.05,1.35,-0.15,27.76,42.44,-166.14
0.12,1.45,-0.08,27.66,60.27,-150.28
0.18,1.13,0.03,39.77,55.58,-136.21
0.09,1.18,0.03,51.32,33.6,-132.59
-0.05,1.18,-0.03,55.55,8.81,-120.44
-0.07,1.05,-0.06,53.79,-13.01,-105.69
-0.05,0.96,-0.01,50.58,-35.49,-100.47
0.04,0.93,0.01,48.87,-57.76,-92.39
0.08,0.93,-0.05,50.25,-60.4,-80.08
0.1,0.92,-0.07,46.91,-46.55,-68.02
0.25,0.9,-0.07,30.43,-20.67,-51.65
0.27,0.77,0,19.76,6.82,-41.42
0.12,0.76,-0.03,14.56,33.02,-20.92
-0.01,0.76,-0.05,10.05,48.18,-3.45
-0.11,0.78,-0.07,0.83,51.65,14.97
-0.15,0.72,-0.1,4.8,51.29,37.29
-0.38,0.8,-0.18,18.3,42.27,49.86
-0.74,0.98,-0.23,12.62,14.95,54.37
-1.08,1.11,-0.4,10.24,-35.67,42.56
-1.03,1,-0.7,5.43,-58.18,28.42
-0.94,1.07,-0.56,-26.04,-67.13,23.23
-1,1.64,-0.34,-7.33,-44.37,34.44
-0.38,1.46,-0.1,-70.14,-111.57,13.05
0.16,0.59,0.32,-0.94,-117.44,37.95
1.09,0.7,-0.02,12.04,-58.47,51.51
0.67,1.15,-0.16,-13.38,33.34,81.23
0.11,1.04,-0.18,-16.92,5.85,88.59
-0.1,0.87,-0.33,-9.81,-27.66,68.62
0.15,0.92,-0.25,-11.08,-22.24,67.79
0.18,0.92,-0.18,-15.65,1.44,64.69
0.07,0.94,-0.22,-11.4,11.75,62.66
0.02,0.98,-0.2,-10.6,17.02,63.47
0.02,1,-0.13,-14.91,19.15,61.92
0.04,0.97,-0.19,-18.3,22.6,62.23
-0.08,0.92,-0.22,-14.65,18.74,58.98
-0.1,0.93,-0.16,-11.62,9.92,56.02
-0.02,0.94,-0.17,-9.55,6.61,52.05
-0.06,0.94,-0.2,-8.08,2.68,47.65
-0.02,0.95,-0.19,-6.46,-4.5,45.36
0.03,1.01,-0.22,-4.85,-7.88,44.96
0.12,1.04,-0.16,-5.54,-4.02,45.13
0.17,1.04,-0.06,-8.67,6.55,44.7
0.16,0.97,-0.18,-1.66,15.31,39.9
0.11,1.1,-0.17,-3.37,27.56,37.27
0.09,1.07,-0.2,-8.07,28.69,40.08
0,0.92,-0.21,-11.12,31.4,37.97
-0.05,0.93,-0.28,-13.34,27.79,32.5
0,0.99,-0.35,-16.34,20.85,30.99
0.02,0.96,-0.3,-20.07,20.76,28.66
0.1,0.98,-0.28,-22.19,27.21,23.56
0.01,1.14,-0.31,-15.94,33.74,15.31
-0.11,1.08,-0.21,-22.26,55.14,3.05
-0.19,0.98,-0.19,-24.03,57.23,-19.92
-0.22,1.06,-0.06,-40.23,65.75,-52
-0.3,1.01,0.08,-47.18,86.9,-87.46
-0.38,0.73,-0.11,-30.4,65.76,-114.79
-0.4,0.7,-0.26,-5.02,1.53,-131.11
-0.2,1.11,-0.28,23.82,-48.08,-136.94
0.04,1.43,-0.38,33.93,-53.22,-127.05
0.18,1.27,-0.36,37.1,-51.95,-117.53
0.18,1.17,-0.26,50,-53.85,-118.63
0.04,1.22,-0.2,59.78,-48.31,-113.42
0,1.19,-0.22,63.05,-59.82,-98.97
-0.02,1.06,-0.13,65.3,-73.24,-92.48
0.01,1,-0.06,65.38,-93.18,-80.02
0.05,0.96,-0.11,62.41,-112.35,-69.38
0.15,0.95,-0.08,54.85,-110.45,-61.59
0.27,0.94,-0.05,40.73,-76.73,-51.39
0.33,0.86,0,23.76,-40.14,-40.97
0.3,0.85,0.06,4.82,-7.09,-27.31
0.19,0.81,0.12,-9.16,29.01,-10.89
0.03,0.75,0.12,-14.4,53.16,9.85
-0.22,0.66,-0.01,9.58,43.38,28.85
-0.54,0.71,-0.23,39.32,16.03,37.47
-0.55,0.96,-0.39,34.85,15.64,42.63
-0.57,1.19,-0.49,23.98,-0.01,27.71
-0.87,1.16,-0.66,-6.47,-11.69,13.31
-1.02,1,-0.57,-29.37,-18.49,20.86
-0.79,1.31,-0.41,-29.5,-66.99,33.57
-0.2,1.2,0.33,-60.29,-108.4,48.18
0.28,0.68,0.07,8.19,-77.69,46.64
0.33,0.87,-0.39,3.85,-45.43,58.87
0.32,1.1,-0.09,-7.4,-4.83,79.27
0.17,0.98,0.02,-6.76,-13.05,74.76
-0.25,0.93,-0.18,-6.4,-30.56,63.92
0,0.92,-0.29,-4.02,-53.44,55.95
0.24,0.95,-0.23,-4.75,-38.1,55.09
0.14,0.94,-0.18,-3.59,-13.09,55.9
0.09,0.97,-0.14,-3.14,5.52,55.57
0.13,1.01,-0.14,-6.29,20.21,54.61
0.01,1,-0.13,-12.34,24.12,58.24
-0.02,0.93,-0.12,-13.32,18.21,58.95
-0.03,0.93,-0.17,-8.92,10.96,57.79
-0.08,0.93,-0.14,-6.02,9.27,56.34
-0.1,0.95,-0.14,-6.1,10.8,54.86
-0.06,0.92,-0.15,-4.49,1.18,56.47
-0.03,0.92,-0.16,-2.85,-1.89,56.21
0.02,0.94,-0.19,-2.16,5.82,53.59
-0.03,0.92,-0.17,-2.79,11.85,50.14
-0.04,0.91,-0.17,-1.33,13.96,43.59
0,0.92,-0.21,1.63,14.36,38.06
0.08,0.95,-0.23,3.74,24.26,35.32
0.12,1.07,-0.29,0.95,39.96,32.06
0.09,1.2,-0.32,-5.47,49.04,29.54
0.18,1.15,-0.41,-4.04,56.6,25.4
-0.1,1.2,-0.26,-15.37,94.11,16.31
-0.21,1.33,-0.25,-14.27,87.74,9.18
-0.33,1.17,-0.13,-23.24,84.87,-5
-0.3,1.04,-0.12,-21.57,85.2,-31.46
-0.28,1.07,0.06,-37.41,113.02,-70.04
-0.26,0.87,0.04,-38.08,130.78,-106.33
-0.34,0.73,-0.06,-22.76,125.01,-140.37
-0.29,0.82,-0.14,4.31,77.78,-159.43
-0.03,1.19,-0.12,27.71,51.08,-164.08
0.08,1.37,-0.18,39.34,62.53,-148.68
0.11,1.19,-0.13,51.44,62.58,-135.32
0.01,1.22,-0.06,60.63,38.53,-132.31
-0.15,1.17,-0.09,66,-5.63,-120.28
-0.22,1.06,-0.08,64.61,-48.56,-97.07
-0.21,0.98,-0.01,63.67,-101.09,-81.97
0.05,0.93,-0.09,68.33,-130.06,-78.74
0.17,0.97,-0.04,58.11,-104.41,-67.14
0.29,0.97,0,45.81,-71.66,-54.92
0.41,0.81,-0.02,28.02,-20.87,-52.5
0.32,0.76,0.01,13.09,19.29,-38.35
0.15,0.76,0.05,0.93,55.73,-22.88
0.01,0.77,0.09,-10.95,79.89,-2.79
-0.16,0.74,0.11,-11.56,81.05,21.05
-0.38,0.73,0.01,9.65,60.02,41.47
-0.62,0.85,-0.27,34.43,44.01,52.56
-0.61,1.04,-0.57,39.53,46.33,56.95
-0.61,1.16,-0.89,16.44,31.89,36.82
-0.98,1.07,-0.52,-17.1,5.33,19.95
-1.08,0.94,-0.38,-25.01,18.17,15.51
-0.62,1.25,-0.39,-31.66,-30.47,31.77
0.04,1.16,0.7,-86.01,-40.05,73.63
-1.04,0.86,-0.28,22.4,-46.86,42.04
0.32,0.89,-0.58,-4.52,-123.31,54.4
1.07,0.85,0.09,-1.88,-63.13,64.7
0.66,0.99,-0.11,-1.24,12.31,68.98
-0.15,0.99,-0.24,-2.76,18.88,52.81
0.06,0.95,-0.3,-5.89,2.26,47.23
0.25,0.92,-0.22,-6.75,19.6,45.41
0.09,0.92,-0.2,-4.27,36.96,42.73
0.08,0.94,-0.24,-6.5,56.09,40.92
0.03,0.98,-0.24,-9.73,73.54,38.79
-0.05,0.95,-0.24,-11.27,61.65,40.17
-0.06,0.9,-0.24,-3.69,37.39,42.95
-0.02,0.93,-0.21,2.13,32.75,40.21
0.04,0.96,-0.19,1.31,45.1,35.11
0.06,0.97,-0.24,-0.6,57.24,31.21
0.05,0.98,-0.26,1.13,59.98,26.99
0.05,0.97,-0.28,-0.72,65.12,24.45
0.02,0.98,-0.25,-2.63,71.55,20.67
0.16,0.91,-0.33,-0.93,62.89,19.49
0.16,1.04,-0.21,2.76,90.66,14.24
0.04,1.04,-0.13,0.11,103.66,14.69
0.06,1.01,-0.12,-3.02,97.56,17.59
