aX,aY,aZ,gX,gY,gZ
0.07,0.99,-0.09,-2.94,2.27,-0.3
0.11,0.99,-0.1,-3.31,1.08,-0.09
0.08,0.98,-0.08,-3.59,1.36,0.03
0.11,1,-0.09,-3.82,1.6,-0.05
0.08,0.98,-0.09,-3.24,1.68,0.06
0.08,0.99,-0.08,-3.18,1.41,-0.36
0.11,1,-0.09,-3.05,1.98,-0.59
0.08,0.98,-0.09,-3.14,1.75,-0.57
0.1,1,-0.09,-2.53,2.04,-0.47
0.09,0.99,-0.09,-2.42,1.29,-0.54
0.09,0.99,-0.09,-2.81,0.6,-0.66
0.11,0.99,-0.09,-3.82,1.07,-0.37
0.09,0.98,-0.1,-3.85,1.24,-0.1
0.09,0.99,-0.09,-3.53,1.55,0.11
0.09,0.99,-0.1,-3.37,1.29,0.01
0.08,0.99,-0.08,-2.63,2.14,-0.24
0.08,0.99,-0.09,-3.45,1.92,-0.23
0.1,0.99,-0.1,-3.4,1.33,-0.11
0.07,0.98,-0.09,-3.26,0.82,-0.38
0.08,1,-0.09,-3.41,0.62,-0.64
0.1,1,-0.09,-3.1,0.85,-0.94
0.08,0.98,-0.09,-2.38,1.48,-0.85
0.11,1,-0.09,-3.43,1.15,-0.48
0.09,0.99,-0.09,-3.18,0.88,-0.27
0.09,0.99,-0.09,-3.1,0.59,-0.27
0.11,1,-0.09,-4.47,1.5,-0.27
0.09,0.98,-0.1,-3.57,2.71,-0.35
0.1,0.99,-0.08,-3.49,2.6,-0.33
0.09,0.99,-0.07,-3.43,2.34,-0.39
0.09,0.99,-0.09,-3.7,2.5,-0.66
0.11,0.99,-0.08,-3.73,2.79,-0.53
0.08,0.98,-0.09,-3.91,2.03,-0.37
0.09,0.99,-0.08,-3.26,1.73,-0.53
0.1,0.98,-0.09,-3.21,2.36,-1.05
0.09,0.99,-0.08,-3.44,3.73,-0.39
0.1,0.99,-0.09,-3.15,4.13,-0.36
0.08,0.99,-0.08,-3.05,3.04,0
0.08,0.99,-0.09,-2.95,1.11,0.44
0.1,1,-0.09,-3.27,0.47,0.4
0.08,0.99,-0.09,-2.92,1.18,-0.18
0.1,1,-0.09,-3.33,2.06,-0.37
0.1,0.99,-0.09,-2.66,3.56,-0.4
0.1,0.99,-0.09,-3.28,2.87,-0.28
0.11,0.99,-0.08,-3.38,2.78,-0.21
0.08,0.98,-0.08,-3.02,2.37,-0.17
0.09,0.98,-0.08,-3.01,2.44,-0.27
0.11,0.99,-0.1,-3.2,3.78,0.03
0.1,0.99,-0.1,-3.27,2.86,0.19
0.09,0.98,-0.09,-3.1,2.71,0.28
0.1,0.99,-0.08,-2.67,1.84,0.24
0.07,0.99,-0.08,-3.22,0.86,-0.28
0.1,1,-0.09,-3.44,0.45,-0.44
0.1,0.99,-0.1,-3.1,1.18,-0.31
0.09,0.98,-0.09,-2.99,1.66,-0.33
0.12,0.99,-0.09,-3.14,1.64,-0.44
0.08,0.98,-0.07,-2.88,1.41,-0.24
0.1,0.99,-0.09,-2.76,1.62,-0.32
0.1,0.99,-0.1,-3.52,1.03,-0.43
0.09,0.99,-0.09,-4.19,1.66,-0.32
0.11,0.99,-0.09,-3.34,1.76,-0.4
0.09,0.99,-0.09,-3.19,1.51,-0.18
0.1,1,-0.09,-2.89,1.21,-0.55
0.11,1,-0.09,-2.91,1.07,-0.78
0.08,0.99,-0.09,-3.51,1.05,-0.47
0.11,0.99,-0.1,-3.38,0.78,-0.5
0.1,0.98,-0.08,-3.07,0.77,-0.44
0.09,0.99,-0.09,-2.97,0.48,-0.39
0.11,0.99,-0.09,-3.29,0.85,-0.37
0.09,0.98,-0.1,-3.26,2.06,-0.47
0.1,0.99,-0.08,-3.64,2.37,-0.58
0.09,0.98,-0.1,-2.99,1.23,-0.11
0.07,0.99,-0.1,-3.6,-0.64,0.48
0.12,0.99,-0.09,-2.92,-0.9,0.24
0.09,0.99,-0.11,-3.32,0.47,0.05
0.09,0.99,-0.09,-3.42,1.53,-0.44
0.12,1,-0.09,-3.37,1.24,-0.75
0.11,0.99,-0.08,-3.36,2.21,-0.35
0.09,0.99,-0.1,-3.61,1.95,-0.09
0.11,0.99,-0.08,-2.94,1.66,0.05
0.09,0.98,-0.11,-3.35,1.69,0.02
0.09,1,-0.09,-2.95,1.19,0.43
0.1,0.99,-0.09,-3.45,0.85,0.18
0.08,0.99,-0.09,-3.42,0.19,0.05
0.11,1,-0.08,-3.46,0.32,-0.08
0.1,0.99,-0.09,-3.17,0.25,0.05
0.1,0.99,-0.08,-3.31,0.75,-0.33
0.13,0.99,-0.1,-3.21,0.48,-0.4
0.09,0.99,-0.09,-3.3,0.11,0.11
0.11,1,-0.09,-4.31,0.19,-0.09
0.11,0.98,-0.1,-3.29,1.02,0.33
0.09,0.98,-0.1,-3.02,0.99,0.29
0.12,0.99,-0.09,-3.82,0.47,0.18
0.09,0.98,-0.08,-3.34,0.88,-0.05
0.1,0.99,-0.09,-3.37,1.31,-0.25
0.12,0.98,-0.09,-3.56,1.33,-0.34
0.09,0.98,-0.09,-3.21,1.65,-0.46
0.11,0.99,-0.08,-3.34,0.89,0.1
0.09,0.99,-0.08,-3.47,0.7,-0.34
0.1,0.99,-0.09,-3.59,0.62,-0.39
0.12,0.98,-0.08,-2.91,1.15,-0.12
0.1,0.99,-0.09,-3.03,1.85,-0.27
0.11,0.99,-0.09,-3.39,1.17,-0.42
0.11,0.99,-0.09,-3.73,0.24,-0.55
0.1,0.98,-0.08,-3.64,1.05,-0.56
0.1,0.99,-0.09,-3.46,1.5,-0.39
0.12,1,-0.09,-2.35,0.83,-0.27
0.1,0.98,-0.09,-3.58,1.24,-0.4
0.11,1,-0.09,-3.44,1.34,-0.44
0.11,0.99,-0.09,-3.83,0.91,-0.66
0.09,0.98,-0.09,-3.39,1.27,-0.99
0.12,0.99,-0.09,-3.19,1.44,-0.5
0.09,0.99,-0.09,-2.92,1.54,-0.98
0.11,0.99,-0.09,-3.17,1.99,-1.2
0.11,1,-0.09,-3.34,1.85,-0.48
0.08,0.98,-0.1,-3.18,1.89,-0.56
0.11,0.99,-0.09,-2.92,1.79,-0.76
0.1,0.99,-0.1,-3.84,1.65,-1.11
0.1,0.99,-0.1,-2.98,2.15,-0.87
0.12,0.99,-0.09,-3.53,1.55,-0.99
0.09,0.98,-0.09,-3.37,1.68,-1.11
0.11,0.99,-0.1,-3.32,1.77,-1.2
0.1,0.98,-0.08,-3.19,1.82,-1.11
0.09,0.99,-0.09,-3.6,1.52,-0.95
0.11,0.99,-0.09,-3.31,1.31,-0.95
0.1,0.99,-0.09,-3.68,0.67,-0.73
0.1,0.99,-0.1,-3.27,1.67,-1.12
0.11,0.99,-0.09,-3.66,1.99,-0.98
0.09,0.98,-0.1,-3.25,1.83,-0.87
0.11,1,-0.08,-3.9,1.94,-1.06
0.1,0.99,-0.09,-3.2,2.58,-1.16
0.09,0.98,-0.09,-3.64,2.43,-0.85
0.11,0.99,-0.09,-3.57,1.89,-0.71
0.08,0.98,-0.09,-3.74,2.15,-0.56
0.1,0.99,-0.1,-3.73,1.73,-0.35
0.1,0.99,-0.09,-3.08,0.91,-0.53
0.1,0.99,-0.1,-4.21,0.56,-0.14
0.1,0.99,-0.07,-3.41,1.58,-0.24
0.12,0.99,-0.08,-3.27,1.82,-0.71
0.09,0.99,-0.09,-3.27,2.32,-0.48
0.1,0.99,-0.07,-3.08,1.75,-0.13
0.09,0.98,-0.09,-3.17,1.49,0.01
0.09,1,-0.08,-3.57,0.66,0.07
0.11,0.99,-0.09,-2.99,1.5,-0.08
0.09,0.98,-0.08,-3.33,0.85,0.15
0.1,0.99,-0.08,-3.05,0.46,0.17
0.1,0.99,-0.09,-3.34,0.72,0.11
0.09,0.99,-0.08,-3.13,0.57,0.32
0.12,0.99,-0.09,-3.23,0.26,0.37
0.09,0.99,-0.08,-2.86,0.31,0.47
0.08,0.99,-0.1,-3.08,-0.18,0.58
0.11,0.99,-0.08,-3.13,-0.3,0.21
0.09,0.98,-0.09,-2.89,-0.05,0.03
0.11,0.99,-0.08,-2.9,0.61,-0.47
0.11,1,-0.08,-2.92,0.31,-0.76
0.1,0.98,-0.09,-3.58,0.16,-0.69
0.14,0.99,-0.09,-3.08,0.99,-1.02
0.11,0.98,-0.09,-3.36,2,-1.53
0.12,0.99,-0.09,-3.24,2.56,-1.61
0.13,0.99,-0.09,-3.65,2.95,-1.69
0.11,0.98,-0.09,-3.31,3.5,-1.53
0.13,0.99,-0.08,-3.5,4.17,-1.67
0.09,0.99,-0.09,-3.53,3.73,-1.62
0.1,0.98,-0.09,-3.47,2.44,-1.77
0.1,1,-0.09,-3.31,2.82,-2.02
0.11,0.99,-0.08,-3.86,3.92,-2.12
0.08,0.98,-0.09,-3.6,3.93,-2.18
0.1,0.99,-0.09,-3.59,3.8,-2.18
0.1,0.99,-0.09,-3.82,3.88,-1.97
0.08,0.98,-0.08,-3.37,3.24,-1.71
0.1,1,-0.08,-3.05,2.77,-1.89
0.09,0.99,-0.1,-3.57,2.3,-1.34
0.09,0.99,-0.08,-4.22,2.27,-0.96
0.1,0.99,-0.09,-3.41,1.74,-0.73
0.08,0.99,-0.08,-3.81,2,-0.63
0.1,0.99,-0.08,-3.64,1.64,-0.6
0.07,0.99,-0.09,-3.53,1.74,0.05
0.08,0.99,-0.08,-3.26,-0.11,0.24
0.11,1,-0.08,-3.37,-0.43,0.12
0.08,0.98,-0.08,-3.8,-0.24,0.11
0.1,1,-0.08,-3.4,-0.62,0.2
0.1,0.99,-0.1,-3.4,0.15,0.32
0.09,0.99,-0.08,-3.19,-0.24,0.54
0.11,0.99,-0.08,-3.48,-0.08,0.85
0.09,0.99,-0.08,-3.38,-0.03,0.69
0.1,0.99,-0.08,-3.27,-0.28,1.11
0.11,0.99,-0.1,-3.64,-0.54,0.95
0.08,0.98,-0.09,-3.34,-1.15,1.07
0.1,0.99,-0.08,-3.42,-1.4,0.73
0.11,0.98,-0.08,-2.6,-0.96,0.38
0.1,0.99,-0.08,-3.34,0.34,0.5
0.12,0.99,-0.08,-3.43,0.21,0.48
0.1,0.99,-0.09,-3.51,0.31,0.62
0.09,0.99,-0.08,-3.31,-0.05,0.24
0.11,0.99,-0.08,-2.83,0.37,0.32
0.11,0.98,-0.09,-3.08,0.76,0.35
0.09,0.99,-0.09,-2.69,0.82,0.53
0.12,0.99,-0.08,-3.57,0.75,0.24
0.09,0.99,-0.08,-3.5,1.63,-0.45
0.1,0.99,-0.08,-3.11,1.73,-0.34
0.11,0.99,-0.09,-3.42,1.22,-0.33
0.09,0.98,-0.09,-3.46,0.6,-0.08
0.12,0.99,-0.09,-3.24,0.98,0.08
0.1,0.99,-0.09,-3.24,0.95,-0.37
0.11,0.98,-0.1,-3.49,1.33,-0.37
0.12,0.99,-0.08,-3.67,1.64,-0.24
0.09,0.98,-0.07,-3.19,1.29,-0.66
0.11,1,-0.09,-3.78,1.85,-1.03
0.12,0.99,-0.1,-3.79,2.31,-1.07
0.09,0.99,-0.09,-3.36,2.4,-0.97
0.12,1,-0.08,-3.65,1.59,-0.73
0.1,0.99,-0.09,-3.71,1.83,-0.95
0.1,0.99,-0.09,-3.37,2.13,-0.94
0.11,0.99,-0.08,-3.23,2.18,-0.94
0.1,0.99,-0.09,-3.75,1.52,-0.98
0.11,0.99,-0.09,-3.92,1.92,-0.79
0.1,0.99,-0.1,-3.03,1.68,-0.69
0.09,0.99,-0.08,-3.09,1.76,-0.95
0.12,0.99,-0.09,-3.68,1.58,-1.16
0.09,0.99,-0.09,-3.86,1.38,-1.09
0.1,1,-0.08,-3.22,1.47,-1.18
0.12,0.98,-0.09,-3.16,1.65,-0.97
0.1,0.99,-0.08,-3.54,1.95,-0.92
0.09,0.98,-0.08,-3.36,1.21,-0.93
0.12,0.99,-0.08,-3.54,1.4,-0.85
0.09,0.99,-0.08,-3.58,1.07,-0.73
0.1,0.99,-0.07,-3.3,1.78,-0.5
0.11,0.99,-0.08,-3.11,1.47,-0.53
0.09,0.98,-0.09,-3.11,1.55,-0.86
0.11,0.99,-0.08,-3.35,1.76,-0.5
0.09,0.99,-0.09,-3.33,0.82,-0.5
0.1,0.99,-0.09,-3.33,0.5,-0.91
0.11,0.99,-0.08,-3.14,0.44,-0.82
0.09,0.98,-0.08,-3.22,0.41,-0.1
0.1,0.99,-0.09,-3.35,-0.35,-0.15
0.11,0.99,-0.08,-2.98,-1.04,-0.34
0.1,0.99,-0.09,-3.44,-0.28,-0.58
0.12,0.99,-0.08,-3.49,0.46,-0.37
0.09,0.99,-0.07,-3.02,0.84,-0.56
0.1,0.99,-0.08,-3.04,0.83,-0.5
0.11,1,-0.08,-3.4,0.13,-0.5
0.09,0.98,-0.09,-3.22,0.56,-0.19
0.11,0.99,-0.08,-3.6,0.19,-0.47
0.1,0.99,-0.08,-3.33,0.34,-0.5
0.09,0.98,-0.09,-2.68,0.73,-0.5
0.12,1,-0.09,-3.39,0.45,-0.76
0.09,0.98,-0.09,-3.13,0.24,-0.43
0.11,0.99,-0.09,-3.72,-0.32,-0.34
0.13,1,-0.09,-3.24,0.95,-0.73
0.09,0.98,-0.07,-2.99,2.13,-0.76
0.11,0.99,-0.09,-3.18,1.74,-0.54
0.1,0.99,-0.09,-3.3,1.11,0.01
0.1,0.99,-0.08,-3.24,1.02,0.1
0.1,0.99,-0.08,-3.03,1.44,0.08
0.11,1,-0.08,-3.42,1.3,-1
0.09,0.98,-0.09,-3.08,1.68,-0.61
0.11,0.99,-0.08,-3.15,1.66,0.02
0.1,0.99,-0.08,-2.86,0.95,0.26
0.09,0.99,-0.09,-2.99,1.36,0.02
0.12,0.99,-0.08,-3.36,0.49,0.21
0.09,0.98,-0.09,-2.95,0.97,0.08
0.11,0.99,-0.08,-2.83,1.02,-0.15
0.11,1,-0.09,-3.18,1.89,-0.63
0.09,0.98,-0.08,-3.15,1.66,-0.82
0.11,1,-0.07,-3.26,0.72,-0.46
0.11,0.99,-0.09,-3.21,0.98,-0.34
0.1,0.99,-0.08,-2.82,1.4,-0.35
0.12,0.99,-0.08,-3,1.47,0.01
0.09,0.98,-0.09,-2.65,1.48,-0.11
0.11,0.99,-0.08,-3.24,1.21,-0.22
0.11,0.99,-0.09,-3.24,0.92,-0.33
0.08,0.99,-0.08,-3.4,0.64,-0.18
0.11,0.99,-0.09,-2.93,0.68,-0.36
0.11,0.99,-0.08,-3.28,1.31,-0.23
0.11,0.99,-0.08,-3.09,1.66,-0.19
0.12,1,-0.07,-3.23,1.58,-0.39
0.08,0.98,-0.08,-3.09,1.56,-0.18
0.11,0.99,-0.08,-2.8,1.14,0
0.11,1,-0.09,-3.52,1.21,-0.2
0.09,0.99,-0.09,-2.92,1.11,-0.21
0.12,0.99,-0.08,-2.85,1.36,-0.53
0.11,0.98,-0.1,-3.4,1.89,-0.64
0.1,0.98,-0.09,-2.93,1.74,-0.8
0.12,0.98,-0.08,-3.1,2.21,-0.47
0.12,0.99,-0.09,-3.06,2.95,-0.69
0.09,0.98,-0.1,-2.98,3.23,-0.89
0.11,0.99,-0.1,-3.18,2.5,-0.4
0.09,0.99,-0.08,-2.9,0.91,-0.01
0.1,0.99,-0.09,-3.21,1.73,-0.52
0.11,0.99,-0.09,-3.2,1.07,-0.43
0.09,0.99,-0.09,-3.08,1.02,-0.36
0.12,0.99,-0.09,-3.15,1.7,-0.43
0.11,1,-0.08,-3.46,2.63,-0.6
0.09,0.99,-0.08,-3.24,1.98,-0.42
0.12,0.99,-0.08,-3.66,0.98,-0.31
0.1,0.99,-0.09,-3.17,0.83,-0.73
0.12,0.99,-0.08,-3.34,1.55,-0.79
0.12,0.99,-0.09,-3.64,2.07,-0.7
0.09,0.99,-0.08,-3.46,1.56,-0.31
0.12,0.99,-0.08,-3.1,1.02,-0.45
0.11,0.99,-0.09,-3.38,1.14,-0.34
0.1,0.99,-0.09,-2.99,1.58,-0.24
0.12,0.99,-0.09,-3.29,0.98,-0.59
0.09,0.99,-0.09,-3.45,1.65,-0.69
0.11,1,-0.08,-2.98,1.45,-0.73
0.13,0.99,-0.09,-3.29,1.55,-1.01
0.09,0.99,-0.09,-3.4,1.29,-1.03
0.12,0.99,-0.09,-2.73,1.71,-0.85
0.1,0.99,-0.08,-2.92,1.53,-1.1
0.1,1,-0.09,-3.45,2.62,-1.34
0.11,0.99,-0.09,-3.27,3.23,-1.59
0.11,0.99,-0.08,-3.25,2.26,-1.21
0.09,0.99,-0.08,-2.5,1.36,-0.62
0.11,1,-0.09,-2.93,1.37,-0.71
0.11,0.98,-0.09,-3.4,1.2,-0.5
0.09,0.98,-0.09,-3.06,1.27,-0.42
0.11,1,-0.08,-2.69,1.08,-0.83
0.09,0.98,-0.1,-2.9,1.24,-0.79
0.1,0.99,-0.08,-3.13,1.3,-0.73
0.12,0.99,-0.09,-2.53,0.44,-0.74
0.1,0.99,-0.09,-2.6,0.81,-1.1
0.13,0.99,-0.09,-3.08,1.51,-1.03
0.1,0.99,-0.1,-3.49,2.34,-0.66
0.09,0.99,-0.09,-3.17,1.98,-0.85
0.11,0.99,-0.09,-2.45,0.83,-0.35
0.09,0.98,-0.08,-3.55,0.82,-0.17
0.11,1,-0.09,-3.5,0.69,-0.39
0.11,0.99,-0.08,-3.31,1.18,-1.02
0.09,0.98,-0.09,-2.72,0.97,-1.68
0.12,0.99,-0.09,-3.27,0.99,-1.27
0.1,0.98,-0.09,-3.68,1.31,-1.05
0.1,0.99,-0.09,-3.27,0.79,-0.85
0.12,0.99,-0.08,-3.05,1.16,-0.66
0.1,0.99,-0.1,-3.61,0.49,-0.86
0.11,0.98,-0.08,-2.99,1.12,-0.76
0.11,0.99,-0.1,-3.22,1.52,-0.84
0.1,0.98,-0.09,-3.35,2.24,-0.63
0.11,0.99,-0.08,-3.73,2.4,-0.73
0.09,0.98,-0.08,-3.22,1.54,-0.84
0.1,0.99,-0.09,-3.17,0.91,-0.66
0.11,0.99,-0.09,-3.23,1.4,-0.33
0.11,0.98,-0.09,-3.43,1.37,-0.36
0.09,0.99,-0.08,-3.47,2.37,-0.94
0.12,0.99,-0.09,-3.19,2.89,-1.44
0.09,0.99,-0.1,-3.08,4.15,-1.44
0.1,0.99,-0.08,-3.69,3.79,-1.13
0.11,0.99,-0.09,-3.96,1.89,-0.68
0.09,0.98,-0.09,-3.31,0.6,-0.12
0.12,1,-0.08,-3.25,1.03,-0.4
0.11,0.99,-0.09,-2.98,1.54,-0.6
0.09,0.99,-0.08,-3.43,2.34,-0.34
0.12,1,-0.1,-3.4,2.1,-0.39
0.09,0.99,-0.08,-2.78,1.88,-0.7
0.1,0.99,-0.08,-3.4,2.6,-1.26
0.11,0.99,-0.08,-3.19,3.4,-1.44
0.09,0.99,-0.08,-3.28,2.17,-1.14
0.11,0.99,-0.09,-3.27,1.63,-0.47
0.11,0.99,-0.09,-3.23,0.75,-0.56
0.1,0.99,-0.1,-3.17,0.96,-0.35
0.11,0.99,-0.09,-3.44,1.6,-0.39
0.1,0.98,-0.08,-3,1.2,-0.24
0.09,0.99,-0.1,-4.07,1.31,-0.27
0.11,0.99,-0.08,-3.26,1.14,0.03
0.08,0.99,-0.09,-2.78,0.59,0.23
0.11,1,-0.09,-3.56,0.14,0.11
0.11,0.98,-0.09,-3.79,0.91,0.38
0.09,0.98,-0.09,-3.2,1.53,-0.22
0.11,0.99,-0.08,-3.26,1.77,-0.47
0.09,0.99,-0.08,-2.81,2.55,-0.47
0.11,0.99,-0.08,-3.7,1.78,-0.22
0.1,0.99,-0.1,-3.02,1.01,0.09
0.11,0.99,-0.08,-3.47,0.28,-0.14
0.09,0.98,-0.08,-3.53,1.22,0.11
0.11,0.99,-0.09,-3.05,1.04,0.21
0.1,0.98,-0.1,-3.11,1.14,0.31
0.1,0.99,-0.08,-3.5,1.33,0.05
0.12,0.99,-0.09,-3.31,0.63,0.13
0.09,0.99,-0.09,-3.18,1.05,0.16
0.11,0.99,-0.09,-3.01,0.9,0.26
0.11,0.99,-0.09,-3.13,1.44,0.06
0.1,0.98,-0.09,-3.21,2.34,-0.14
0.11,0.99,-0.08,-3.55,2.21,-0.41
0.09,0.98,-0.09,-2.94,1.64,-0.22
0.09,0.99,-0.09,-2.93,0.69,-0.65
0.12,0.99,-0.08,-3.11,0.14,-0.57
0.11,0.98,-0.09,-3.79,1.15,-0.15
0.09,0.98,-0.08,-3.31,1.2,-0.69
0.12,0.99,-0.09,-2.93,1.56,-0.85
0.1,0.99,-0.09,-3.47,1.37,-0.48
0.1,0.99,-0.09,-3.47,0.73,-0.37
0.12,0.99,-0.09,-3.05,0.63,-0.59
0.1,0.99,-0.09,-2.92,0.69,-0.79
0.11,1,-0.09,-2.99,1.04,-0.66
0.11,0.98,-0.08,-3.08,1.18,-0.61
0.1,0.99,-0.08,-3.44,1.05,-0.79
0.11,1,-0.09,-3.09,1.53,-0.63
0.09,0.98,-0.1,-3.11,0.83,-0.62
0.11,0.99,-0.09,-3.21,-0.47,-0.54
0.13,0.99,-0.09,-2.77,0.28,-0.6
0.1,0.99,-0.1,-3.46,1.44,-0.75
0.09,0.98,-0.09,-3.4,0.95,-0.53
0.11,0.99,-0.08,-3.47,-0.11,-0.17
0.1,0.99,-0.09,-2.79,-0.37,-0.39
0.11,0.99,-0.09,-2.9,0.11,-0.51
